,date,match_id,inning,batting_team,bowling_team,toss_winner,toss_decision,super_over,winner,win_by_runs,win_by_wickets,player_of_the_match,ball_over,ball_result,bowler,batsman,batsman_runs,extra_runs,total_runs
0,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,0.1,0,Kishore Mahato,Lokesh Bam,0,0,0
1,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,0.2,4,Kishore Mahato,Lokesh Bam,4,0,4
2,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,0.3,0,Kishore Mahato,Lokesh Bam,0,0,0
3,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,0.4,1w,Kishore Mahato,Lokesh Bam,0,1,1
4,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,0.4,0,Kishore Mahato,Lokesh Bam,0,0,0
5,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,0.5,1,Kishore Mahato,Lokesh Bam,1,0,1
6,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,0.6,0,Kishore Mahato,Martin Guptill,0,0,0
7,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,1.1,W,Lalit Rajbanshi,Lokesh Bam,0,0,0
8,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,1.2,0,Lalit Rajbanshi,Aqib Ilyas,0,0,0
9,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,1.3,0,Lalit Rajbanshi,Aqib Ilyas,0,0,0
10,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,1.4,1,Lalit Rajbanshi,Aqib Ilyas,1,0,1
11,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,1.5,0,Lalit Rajbanshi,Martin Guptill,0,0,0
12,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,1.6,0,Lalit Rajbanshi,Martin Guptill,0,0,0
13,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,2.1,1,Kishore Mahato,Aqib Ilyas,1,0,1
14,2024-11-30,1,1,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,0,Janakpur Bolts,0,8,Lahiru Milantha,2.2,1,Kishore Mahato,Martin Guptill,1,0,1
